length,width,height,diameter,thickness,volume,surface_area,aspect_ratio,material_code,density,machinability_index,material_cost_per_kg,num_operations,tolerance_severity,surface_finish_code,coating_code,hole_count,slot_count,pocket_count,fillet_count,chamfer_count,complexity_score,contour_count,symmetry_score,num_drawing_views,total_cost,raw_material_cost,machining_cost,manpower_cost,coating_cost,overhead_cost,logistics_cost,profit_margin
942.8992198676206,385.21429192297484,232.99848545285127,73.40279606636548,0.0,84629303.38212219,1345333.3841854143,4.046804072717555,1.0,7.85,0.6,0.8,3.0,44.647045830997406,4.0,4.0,3.0,1.0,0.0,3.0,3.0,44.97796809312855,53.0,0.9692763545078751,2.0,1188063.3894768145,55121.45848146036,224738.00948059486,35059.1294789728,536657.0780947033,127736.35133035971,10740.797697921034,198010.56491280242
589.2983432288526,191.27267288786132,181.18910790805947,93.68437102970628,15.579754426081674,20423032.745559525,508295.27061369165,3.2523938664562517,2.0,7.75,0.4,2.0,4.0,24.654473731747668,2.0,2.0,3.0,1.0,0.0,5.0,2.0,46.12989871492307,12.0,0.9299702033681603,3.0,291237.5472639316,32777.24802240896,119516.24997777423,13385.819997510716,40484.91875892107,30924.635513492252,5609.083783169116,48539.59121065527
370.34544702276713,384.66566117599996,291.40800826863983,95.6920653760056,0.0,41513744.80842796,724950.9190068704,1.3200243310451127,2.0,7.75,0.4,2.0,4.0,27.606099749584054,3.0,4.0,1.0,2.0,0.0,7.0,0.0,44.657282792978194,45.0,0.5911180438940311,2.0,869157.7515429101,69116.03464333739,228990.7766260538,25646.966982118025,299495.6100234114,93487.4082412381,7561.329769599804,144859.62525715173
634.6920763061494,270.31009834599746,57.828323113889645,117.46312000546484,0.0,9921239.780878825,447796.87148059544,10.975453586232456,2.0,7.75,0.4,2.0,2.0,39.09087983425684,3.0,4.0,2.0,2.0,1.0,2.0,1.0,45.82404601085629,49.0,0.9222669243390758,1.0,336774.6003621733,16158.380592727515,38959.04213539701,3740.068044998113,180970.54579094975,35974.20548461085,4843.2582531277985,56129.10006036221
1783.1643919310693,207.02599800807678,120.23362742184518,71.1386337462144,12.982025747190832,44385612.76552805,1216898.3953889501,14.830829196184487,1.0,7.85,0.6,0.8,4.0,25.79526072702279,4.0,4.0,3.0,2.0,0.0,2.0,3.0,52.613324979540636,44.0,0.8950877702656028,3.0,971538.5823427158,28453.043366585945,163833.93644516997,27524.10132278855,477757.85107486794,104635.33983141187,7411.213244772229,161923.0970571193
913.1615978069043,134.7607178575389,265.7758564688984,99.63470372789737,0.0,32705928.384463444,803141.5267979687,6.7761704770098135,6.0,7.3,0.65,0.6,3.0,33.651911508309084,2.0,3.0,3.0,0.0,0.0,6.0,2.0,37.35610766069589,23.0,0.9244569121330419,1.0,301295.39612966095,15683.401411675935,81380.20589423418,13753.254796125579,101456.44831585872,31840.996562684166,6965.189794138826,50215.899354943474
1676.2892829159377,248.13867890931724,180.68320734549852,53.812869011614275,0.0,75155579.06784187,1527328.0491611103,9.277504575788129,1.0,7.85,0.6,0.8,4.0,32.53102287905535,4.0,2.0,1.0,2.0,0.0,6.0,2.0,44.94058382710424,52.0,0.6015306123673847,1.0,656484.7139974189,48198.93860229066,255981.4422618293,43004.882299987315,119979.09475524088,70074.65368790222,9831.583390598538,109414.11899956981
786.0401878904709,148.36638617620133,282.42441308564327,145.01056347656353,42.14688307596458,32936883.541059334,761042.3406614361,5.297966797930645,2.0,7.75,0.4,2.0,4.0,45.70235993959911,3.0,4.0,2.0,2.0,1.0,2.0,2.0,51.522400231387124,42.0,0.6360661246923176,3.0,815374.216622055,54851.60317860969,193836.39781506555,21709.676555287337,314492.71846825565,87733.55940258273,6854.558431911585,135895.70277034253
1763.3273169566123,358.21917497690305,51.738032632797676,112.61165047231685,0.0,32680724.45481312,1482844.5966521744,34.08183935928803,1.0,7.85,0.6,0.8,2.0,23.504606856145116,3.0,3.0,2.0,0.0,1.0,2.0,1.0,32.15507488781144,58.0,0.6269577069671723,2.0,407562.4296304037,22890.518073582414,65949.05797043777,9496.664347743039,190830.5266161484,43375.01505118674,7093.575966238013,67927.07160506729
1567.7005913602177,144.42607898601997,299.43512126223544,0.0,26.44148053272925,67797156.76614927,1478175.413171308,10.85469191136849,6.0,7.3,0.65,0.6,4.0,46.33063543866615,3.0,2.0,2.0,0.0,1.0,3.0,3.0,37.54517744447956,15.0,0.6210276357557503,3.0,577896.0955217042,33414.720233172746,210267.1710937924,38268.62513907022,127948.40009386669,61484.837483985306,10196.325557532791,96316.01592028403
689.6294563859394,318.4649045835579,141.9457831798133,145.0294566141342,13.611590802176332,31174527.372966837,725435.0452258557,4.858400446544681,1.0,7.85,0.6,0.8,1.0,22.83120259886943,2.0,4.0,1.0,2.0,1.0,5.0,2.0,52.657282792978194,45.0,0.508293914463928,3.0,541397.3487662773,22172.318361906113,42405.24947995358,5597.492931353872,315992.4952026477,57925.13339637919,7071.767932990725,90232.89146104624
895.0320764896993,128.85296532742623,285.130816122401,0.0,43.50840423629312,32883434.78008748,814537.4294153943,6.946150398753707,1.0,7.85,0.6,0.8,4.0,39.40864476963088,2.0,3.0,3.0,1.0,1.0,4.0,2.0,47.51619307604297,25.0,0.9086111001006079,1.0,388393.267036193,22468.648633610333,129011.34540818931,21673.906028575806,102258.42203570076,41311.84831591143,6936.885441506498,64732.211172698844
732.5339734362567,398.8761099273773,291.3548378221984,182.39545147840096,0.0,85131057.96907221,1243664.2061254205,2.5142330874330336,1.0,7.85,0.6,0.8,3.0,38.014313198910855,4.0,3.0,2.0,0.0,1.0,5.0,2.0,40.15507488781144,58.0,0.5808143570473069,2.0,690772.3319441531,59406.3046263015,234995.9853371096,36659.37371258909,159454.17884350108,73577.37637792517,11550.391056034496,115128.7219906922
1324.2702496574411,211.68482996852293,285.0333606144446,92.58814621061985,0.0,79902809.86161096,1436252.7214594483,6.255858059617958,1.0,7.85,0.6,0.8,2.0,27.936965719449894,1.0,1.0,1.0,0.0,1.0,6.0,3.0,39.80239476332431,29.0,0.6832343922914299,3.0,679862.007858422,56154.08703841163,156907.7298776646,22594.7131023837,247273.27625155443,72439.47094050216,11182.396004835075,113310.33464307034
819.91246492692,262.7620691664698,177.20351920969,87.56927279083762,49.15571433100036,38177062.12443664,814591.2668392765,4.62695362137077,1.0,7.85,0.6,0.8,2.0,46.24395150874216,3.0,2.0,1.0,1.0,0.0,5.0,2.0,34.522400231387124,42.0,0.5976214938990223,1.0,256502.80628353314,26022.13525908801,74682.7581746876,10754.317177155013,68010.68968302863,26920.48504409389,7361.953231557828,42750.4677139222
